has_custom_cover_image,description_length,favourites_count,followers_count,friends_count,followers_to_friends_ratio,has_location,username_digit_count,username_length,statuses_count,is_verified,account_age_days,account_type
0,7,452,28,63,0.4375,0,0,6,58,0,3346,1
0,7,1464,50,0,50.0,0,0,9,2141,0,3590,1
0,85,132,0,0,0.0,0,2,15,251,0,1247,0
0,7,18559,177,852,0.20750293083235638,0,0,12,5015,0,2326,0
0,11,0,24,0,24.0,1,0,15,3130,0,3475,1
0,159,25834,403,994,0.4050251256281407,1,4,11,24749,0,2434,0
0,42,52,251,0,251.0,1,0,15,800,0,4277,0
0,117,2926,2494,2395,1.0409015025041737,1,0,11,11134,0,3820,0
0,102,5098,1096856,1536,713.6343526350032,1,0,10,10295,1,4108,0
0,127,302,1808775,224,8039.0,1,0,4,1016,1,3507,0
0,7,7339,110,48,2.2448979591836733,1,0,5,14309,0,1608,1
0,16,2308,14,23,0.5833333333333334,1,0,8,3181,0,1676,1
0,96,1159,1103,1720,0.6409064497385241,1,0,13,3417,0,4116,1
0,85,841,78,312,0.24920127795527156,1,2,14,1573,0,3481,0
0,7,219,4,44,0.08888888888888889,1,1,10,258,0,1148,1
0,30,89,0,0,0.0,0,3,15,186,0,1103,0
0,155,2,1538905,2935,524.150204359673,0,0,14,1066811,1,3742,1
0,44,74396,1265,922,1.370530877573131,1,0,12,96848,0,3191,0
0,28,2841,895,168,5.295857988165681,1,3,10,9553,0,3520,1
0,116,37761,1413,3358,0.4206609109854123,1,0,8,28105,0,3385,0
0,10,52,0,0,0.0,0,0,11,125,0,1418,0
0,62,29933,1374873,832935,1.65063462258805,1,0,14,54859,1,3213,1
0,160,209,807,689,1.1695652173913043,1,0,8,66437,0,4172,0
0,154,22,1,0,1.0,0,2,13,224,0,1155,1
0,56,2457,288,439,0.6545454545454545,0,2,11,45754,0,3452,0
0,138,12738,1689,2229,0.7573991031390135,1,2,15,168609,0,3268,0
0,11,4359,105,310,0.33762057877813506,1,2,7,9105,0,4208,0
0,4,2968,316,220,1.4298642533936652,0,0,10,13365,0,4124,0
0,56,18,0,0,0.0,0,4,14,172,0,1155,1
0,157,1180,138654,2344,59.12750533049041,1,0,11,79652,1,4244,0
0,37,571383,14645,7827,1.8708482370975983,1,0,8,558538,0,2395,1
0,22,14410,1685,666,2.52623688155922,1,1,3,34292,0,4864,0
0,160,66702,829,1865,0.4442658092175777,1,0,14,38332,0,4592,0
0,109,112819,593,941,0.6295116772823779,1,0,9,19635,0,3660,0
0,156,5586,3415949,798,4275.280350438047,1,0,13,25684,1,4167,0
0,160,45045,1818,999,1.818,1,0,15,29812,0,2912,0
0,160,10749,463,57,7.982758620689655,0,4,10,16442,0,1667,0
0,138,6005,5196,468,11.078891257995735,1,0,11,29364,1,3056,0
0,7,1365,5,1,2.5,0,2,8,1992,0,3846,1
0,7,2078,36,46,0.7659574468085106,0,0,8,2346,0,4189,1
